,username,status
@,TheGoodPlan,Are you @CreateBaltimore and want to get interviewed by a youth @tedxmidtlantic reporter? Head to registration #createbmore
@,davetroy,RT @ajzaleski: How do you break congressional gridlock? Drop @davetroy into the Capitol by helicopter. #createbmore
@,davetroy,"RT @ZigerSnead: #createbmore ""design is essentially an exercise in empathy"" @davetroy"
@,BeatwellBmore,Thanks to everyone at #createbmore for documenting the day. I've been following along!
@,BeatwellBmore,Really bummed I couldn't make it to #createbmore. Still looking forward to the ideas that come of it and hope to connect with everyone soon!
@,BmoreSara,"RT @mobtownblues: .@NoOrdnryCherry: ""everybody is an art patron, not just a certain group of people."" #createbmore"
@,ElizabethEadie,RT @cariperi: Just did an interview with youth reporter for a Baltimore time capsule #createbmore. Neat idea!
@,ElizabethEadie,RT @MikeMakes: .@cariperi @SJ843 @ReinventTransit Let’s meet in Rm 300 to keep working on Transit. #createbmore
@,AndrewHazlett,An email group? Facebook? Something like http://t.co/tPGED5bR or cahoots.co ? A regular meetup? #createbmore
@,MikeMakes,.@cariperi @SJ843 @ReinventTransit Let’s meet in Rm 300 to keep working on Transit. #createbmore
@,RodneyCBurris,Johnny Hop had some great reps at the event! @pjdgallagher @justbreathe_dkm @kirstenallyssa #CreateBmore JHU
@,cariperi,Just did an interview with youth reporter for a Baltimore time capsule #createbmore. Neat idea!
@,mobtownblues,RT @AndrewHazlett: In the Action Room #300 we are working on tools and ideas to keep us all connected after #createbmore - join in!
@,AndrewHazlett,In the Action Room #300 we are working on tools and ideas to keep us all connected after #createbmore - join in!
@,Shaq_Brooks,RT @SargeSalman: @nikkijamesmedia @RodneyCBurris #createbmore  HS students: @EvodieNgoy @Shaq_Brooks
@,KKTrumpbour,#createbmore room 300 action lab about keeping create baltimore conversation going
@,AndrewHazlett,Recommended book on building bridges to a cultural organization  http://t.co/BFQVSkvo #createbmore
@,AndrewHazlett,Connecting people doesn’t really have a tech solution nor can it be a top-down mandate #createbmore #tummel
@,maryhassound,Good art is art that you like. #createbmore
@,pandora13,"RT @SargeSalman: Dig it! ""@nikkijamesmedia: Network centrality is sign of success &amp; effectiveness"" especially at work #createbmore"
@,cariperi,@SJ843 thanks! If you want to talk @ReinventTransit I'd be open during the second PM session...or a later date. CC: @MikeMakes #createbmore
@,pandora13,"Abundance vs. the perception of scarcity (resources, money, people, energy, skills) #createbmore"
@,CreateBaltimore,RT @tracycgold: Resources for folks interested in social enterprise at the bottom of these notes: http://t.co/7aOPVTKg #createbmore
@,rsteggy,RT @tracycgold: Use #sebalt to talk more about social enterprise #createbmore
@,Tygemstones,RT @AndrewHazlett: Weaving networks among communities in Baltimore #createbmore @ CreateBaltimore 3 http://t.co/VwCv5fxG
@,AndrewHazlett,Anyone here want to brainstorm on a tool (or tools) to keep #createbmore participants connected after the event? Action room project?
@,creativereality,RT @tracycgold: Use #sebalt to talk more about social enterprise #createbmore
@,tracycgold,Use #sebalt to talk more about social enterprise #createbmore
@,EdMullinSr,Growing up in a large vocal family is a big help in participating in the conversation at #createBmore
@,SargeSalman,"Dig it! ""@nikkijamesmedia: Network centrality is sign of success &amp; effectiveness"" especially at work #createbmore"
@,studioKAFI,@NoOrdnryCherry: Just learned about #yarnbombing from @maryhassound. Epic Art Awesomeness! #createbmore
@,mobtownblues,"MICA student involved w/ #Baltimore Dance Crews: kids need to be taught value of art, since they're not getting it in school. #createbmore"
@,Peter_M_Jackson,So many discussions #createbmore coming back to competition b/t NPOs for the same narrowing source of funding - how to grow the pie
@,ElizabethEadie,We've got an 11-year old TedX reporter looking for people to share their vision of the future of Baltimore - want to share? #createbmore
@,nikkijamesmedia,Network centrality is sign of success and effectiveness. Employees who are central are likely to stay. #createbmore http://t.co/z8S3b4GP
@,cariperi,RT @tracycgold: Resources for folks interested in social enterprise at the bottom of these notes: http://t.co/RIEeTrtK #createbmore
@,mobtownblues,I had fun being interviewed about the #Baltimore #arts scene by youth reporter @eliotpearson jr. of @wideangleym #createbmore
@,BRMacJR,"Lets raise the ceiling MT “@nikkijamesmedia: Best quote all day: ""until u know what's possible, u settle for what is."" #bmore #createbmore”"
@,AndrewHazlett,Weaving networks among communities in Baltimore #createbmore @ CreateBaltimore 3 http://t.co/VwCv5fxG
@,tracycgold,Resources for folks interested in social enterprise at the bottom of these notes: http://t.co/RIEeTrtK #createbmore
@,rsteggy,How do we do it? MT @nikkijamesmedia: Goal: break down silos. More closely connected = better flow of ideas = better #bmore #createbmore
@,SJ843,"Just entered the ""reinvent public transit"" room at #createbmore #progress"
@,kristinagill,RT @flygirlblog: RT @RodneyCBurris: Follow these wonderful #CreateBmore tweeps! @lanakole @averyclassyguy @atechsnob @venroyjuly @creati ...
@,creativereality,RT @flygirlblog: RT @RodneyCBurris: Follow these wonderful #CreateBmore tweeps! @lanakole @averyclassyguy @atechsnob @venroyjuly @creati ...
@,flygirlblog,RT @RodneyCBurris: Follow these wonderful #CreateBmore tweeps! @lanakole @averyclassyguy @atechsnob @venroyjuly @creativereality @hadiyaw
@,nikkijamesmedia,"One of the best quotes all day: ""until you know what's possible, you settle for what is."" #bmore #createbmore"
@,rsteggy,"Agreed MT @suitsandsoot:  @jessgartner says, we need a #socent starter kit. Basic legal, financial structures. I say: for FREE. #createbmore"
@,technicallyBMR,For the #createbmore crowd: these 7 Balt. city council members are on Twitter. http://t.co/Me7E6utL
@,nikkijamesmedia,Problem: #bmore is full of silos. Goal: break down silos. More closely connected = better flow of ideas = better #bmore #createbmore
@,DSKinsel,"RT @NoOrdnryCherry: ""Start creating value of art to people who do not traditionally value art."" @scottburkholder #CreateBmore"
@,cariperi,"Social entrepreneurs ""scavenge"" to figure out the basics like legal docs and accounting - streamline through social spaces? #createbmore"
@,MonoChz,"Apparently, I'm likely to meet Facebook friends I don't actually know. Looking forward to the future! #createbmore"
@,mobtownblues,".@KKTrumpbour: artist-entrepreneurs, gallery owners should tap into patrons' need for self-expression to engage them as buyers. #createbmore"
@,NoOrdnryCherry,Start creating value of art to people who do not traditionally value art. @scottburkholder #CreateBmore
@,suitsandsoot,"So smart: @jessgartner says, we need a #socent starter kit. Basic legal, financial structures. I say: for FREE. #createbmore"
@,RodneyCBurris,Awesomely cool Bmore Tweeps!! @elizabetheadie @_southernwit @bjornmeansbear @denneyjason #CreateBmore
@,mobtownblues,".@NoOrdnryCherry: ""everybody is an art patron, not just a certain group of people."" #createbmore"
@,grababroom,RT @CreateBaltimore: For a reminder RT @createbaltimore: The full schedule for the day is here: http://t.co/rU6nEhxR #createbmore
@,suitsandsoot,"In social lab session. Should spaces be for everyone, or select few? #createbmore"
@,mobtownblues,"Josh Gillen: ""we need to create a culture that values art"" in #Baltimore, engage #arts consumers at different income levels. #createbmore"
@,cariperi,Curious: how do we make social spaces useful for social entrepreneurs? What resources are needed? #createbmore #socialspacebmore
@,jamesnovak,RT @rsteggy: Loved the Crowdsourcing session. We're keeping the conversation go with #bmoreaction #createbmore
@,cariperi,@NoOrdnryCherry @mikemakes and our table had the same talk over lunch today. It is critical for arts sustainability.  #createbmore
@,mobtownblues,.@scottburkholder: we don't need to teach business to artists; we need to engage more non-artists in business of #arts. #createbmore
@,Humanim,RT @CreateBaltimore: For a reminder RT @createbaltimore: The full schedule for the day is here: http://t.co/rU6nEhxR #createbmore
@,NoOrdnryCherry,Art should be a job. We need to teach art schools to teach business skills &amp; in turn create working artists. #createbmore
@,SargeSalman,@nikkijamesmedia @RodneyCBurris #createbmore  HS students: @EvodieNgoy @Shaq_Brooks
@,nikkijamesmedia,Fascinating to see @baltimoresun connections on the publishing map - too small to see my name but I saw co-workers! #createbmore
@,mobtownblues,Danger of unconferences: many topics get collapsed into a single session. This #arts convo could spawn 12 separate conferences #createbmore
@,mobtownblues,@LesterSpence LOVED your comments in the #createbmore diversity/inclusion convo. Would like to grab coffee sometime.
@,RodneyCBurris,RT @nikkijamesmedia: Most awesome sight: high school student attending this workshop. Great to see engagement in our youth. #createbmore
@,mobtownblues,"Young artist/entrepreneur in #createbmore #arts session: ""arts should pay."" Amen to that."
@,Peter_M_Jackson,"@rsteggy Telling Bmore's story. Bldg off why Baltimore, to why Baltimore + not somewhere else? Exploring history of our city. #createbmore"
@,RodneyCBurris,RT @KKTrumpbour: #createbmore welcome new twitter member @venroyjuly with a follow. Venroy is trying to introduce boxing education progr ...
@,CreateBaltimore,For a reminder RT @createbaltimore: The full schedule for the day is here: http://t.co/rU6nEhxR #createbmore
@,ElizabethEadie,RT @tracycgold: Notes on social enterprise http://t.co/WDXfrWIn (though it's interactive so may be limited) #createbmore
@,KKTrumpbour,#createbmore welcome new twitter member @venroyjuly with a follow. Venroy is trying to introduce boxing education program to schools.
@,tracycgold,Notes on social enterprise http://t.co/WDXfrWIn (though it's interactive so may be limited) #createbmore
@,RodneyCBurris,@donTabrams Great to meet ya Sir!! Thank you for helping us #CreateBmore @eliotpearson
@,rsteggy,What's going on in the action labs? #CreateBmore
@,BaltPerfKitchen,Ready to take action today? Go to Krieger 205 or 300 and make something. These are open action labs. Create collabo or ind. #CreateBmore
@,ElizabethEadie,RT @CreateBaltimore: Fresh coffee in Remsen right now! Next session in fifteen mins! #createbmore
@,rsteggy,Three cheers for Smalltimore @MonoChz: @CreateBaltimore we're trying to make Baltimore even smaller. #createbmore
@,nikkijamesmedia,Most awesome sight: high school student attending this workshop. Great to see engagement in our youth. #createbmore
@,BaltimoreBStore,Learning about coalition / network building at #CreateBMore
@,mobtownblues,Jeannie Howe: @BMoreCulture is revamping the Greater #Baltimore Fun Guide &amp; is looking for community input. #createbmore
@,mobtownblues,"Jeannie Howe, @BMoreCulture - is it possible to create an #art market ""highway"" that links #Baltimore to DC/Philly/NY? #createbmore"
@,MonoChz,@CreateBaltimore we're trying to make Baltimore even smaller. #createbmore
@,DaveLandymore,RT @AndrewHazlett: Peter Davis is working on “parlor/pop-up” theater performance - Contact: http://t.co/IXS73BVk #createbmore
@,nikkijamesmedia,Unlocking the potential of collaboration in the coalition workshop #createbmore
@,DaveLandymore,RT @rsteggy: @DavidMTaylor Great having lunch with you! I'm really excited about the prospect of a social change wiki. #createbmore
@,eclubproject,"RT @CreateBaltimore: After lunch, keep talking or head to an action lab! #createbmore tweet and share what you are doing!"
@,mobtownblues,MT @studioKAFI: @mobtownblues says re inclusion/diversity - try the race matters toolkit. #createbmore #diversity http://t.co/ZLcZ5Iqo
@,DaveLandymore,"RT @SargeSalman: https://t.co/yPyOFkaq ""@DaveLandymore: @ZeroLitter's #TrashMob this coming Monday at 1230 #socialdesign at #CreateBmore ..."
@,NoOrdnryCherry,"RT @technicallyBMR: For the #createbmore crowd: check out our #OneBigIdea series. http://t.co/oSVfLoq5 .Featuring @NoOrdnryCherry, @scot ..."
@,danieldubya,RT @lrenhrda: Contemplating whether to use an Action Lab to find ways to tell the story of “why Baltimore.” #createbmore #whybmore
@,SargeSalman,"My table was coolest ""@rsteggy: The best part of lunch @createbaltimore is that EVERY table is a cool kids table. #createbmore"""
@,datkidCarpeDiem,RT @EvodieNgoy: Had lunch with @datkidCarpeDiem . It's always amazing to meet and talk to young people my age. #CreateBmore
@,datkidCarpeDiem,lunch with @EvodieNgoy at the #CreateBmore i got 2 containers of orange chicken. #GotTheIdis http://t.co/l05lZXPx
@,RodneyCBurris,Follow these wonderful #CreateBmore tweeps! @lanakole @averyclassyguy @atechsnob @venroyjuly @creativereality @hadiyaw @flygirlblog
@,createdbysteph,"#createbmore Are there notes from the RobotCity / STEM Ed session this morning? If so, can someone please share on Twitter? Thanks!"
@,JohnsHopkins,RT @technicallyBMR: The HUT at @johnshopkins. #createbmore http://t.co/jrQgMvk0
@,technicallyBMR,The HUT at @johnshopkins. #createbmore http://t.co/5BVviWPV
@,EvodieNgoy,Had lunch with @datkidCarpeDiem . It's always amazing to meet and talk to young people my age. #CreateBmore
@,CreateBaltimore,Fresh coffee in Remsen right now! Next session in fifteen mins! #createbmore
@,BaltimoreYDS,RT @RodneyCBurris: If you LOVE the wonderful possibilities of Baltimore #FF every1 the hashtag #CreateBmore (-There's So Many of YOU!)
@,ZigerSnead,"#createbmore ""design is essentially an exercise in empathy"" @davetroy"
@,ElizabethEadie,"RT @CreateBaltimore: After lunch, keep talking or head to an action lab! #createbmore tweet and share what you are doing!"
@,HoCoBlogs,Wonderful meal provided by @CCGourmet! #createbmore
@,rsteggy,@DavidMTaylor Great having lunch with you! I'm really excited about the prospect of a social change wiki. #createbmore
@,lrenhrda,Contemplating whether to use an Action Lab to find ways to tell the story of “why Baltimore.” #createbmore #whybmore
@,ZeroLitter,RT @DaveLandymore: @ZeroLitter's #TrashMob this coming Monday at 1230 just got a mention in the #socialdesign session at #CreateBmore // ...
@,mobtowngeorge,RT @DaveLandymore: @ZeroLitter's #TrashMob this coming Monday at 1230 just got a mention in the #socialdesign session at #CreateBmore // ...
@,RodneyCBurris,If you LOVE the wonderful possibilities of Baltimore #FF every1 the hashtag #CreateBmore (-There's So Many of YOU!)
@,datkidCarpeDiem,RT @rsteggy: The best part of lunch @createbaltimore is that EVERY table is a cool kids table. #createbmore
@,CreateBaltimore,RT @rsteggy: The best part of lunch @createbaltimore is that EVERY table is a cool kids table. #createbmore
@,AndrewHazlett,"RT @technicallyBMR: For the #createbmore crowd: check out our #OneBigIdea series. http://t.co/oSVfLoq5 .Featuring @NoOrdnryCherry, @scot ..."
@,technicallyBMR,"For the #createbmore crowd: check out our #OneBigIdea series. http://t.co/oSVfLoq5 .Featuring @NoOrdnryCherry, @scottburkholder &amp; more."
@,mezzoihnen,Loved the yummy @ccgourmet lunch at #createbmore!
@,CreateBaltimore,"After lunch, keep talking or head to an action lab! #createbmore tweet and share what you are doing!"
@,NoOrdnryCherry,Just learned about #yarnbombing from @maryhassound. Epic Art Awesomeness! #createbmore
@,ajzaleski,cc #createbmore  .MT@NextCityOrg: what Cleveland is doing after loss of the streetcar: bus rapid transit modeled after rail.
@,suitsandsoot,"Interested in connecting #socent to Bmore funders, or a #socialinnovation pub, come say hi! In back lunch room.  #createbmore"
@,hoot1388,"RT @BaltimoreBStore: #CreateBMore, tweet that ""proposed schedule"" and let's talk it out!"
@,swampyyyyy,Loving my lunch from @ccgourmet as I reflect on all sorts of evil plans I just heard about from Baltimore's most sinister at #createbmore
@,RodneyCBurris,very Happy to finally be Here! Follow the convo! Click the hashtag! See what the BUZZ is about!! #CreateBmore !! http://t.co/j0T38hBw
@,rsteggy,The best part of lunch @createbaltimore is that EVERY table is a cool kids table. #createbmore
@,dirdim,@hardebeck: Should be hashtag #3DMaryland. 3D in both Annapolis and Washington: http://t.co/Py1yJXuT AND http://t.co/8wX69DLo  #CreateBmore
@,createdbysteph,She is quite amazing! Proud to know her. “@jessgartner: I’m always so proud of and impressed by @EvodieNgoy. She’s so wise. #createbmore”
@,lrenhrda,A delicious lunch from @ccgourmet here at #createbmore!
@,itsJaeJin,"RT @cariperi: Next steps for social design thinking: geographic mixing, neighborhood tours, needs analysis and ""deep listening"" #createbmore"
@,itsJaeJin,"RT @KKTrumpbour: Feb 23 Mar 9, 23 http://t.co/dhkDuLWh, legal clinic for artists. Get your legal qs answered #createbmore"
@,itsJaeJin,"RT @SargeSalman: Brilliant insight ""@pandora13: #createbmore ""design is essentially an exercise in empathy"" @davetroy"""
@,MikeMakes,One reason a funded bike share fell through in Baltimore was corporate sponsorship. Help us fix that. http://t.co/hsBgBLGF #createbmore
@,NoOrdnryCherry,@ElizabethEadie  Yes! Thank you @lesterspence for your voice - Want to pick your brain &amp; continue discussion #digitaldivide #CreateBmore
@,cariperi,"RT @SargeSalman: Brilliant insight ""@pandora13: #createbmore ""design is essentially an exercise in empathy"" @davetroy"""
@,datkidCarpeDiem,RT @kbladow: Would love to hear @LesterSpence lecture. So much opportunity to learn. #CreateBmore
@,CreateBaltimore,Time's up! Chow down! #createbmore See you in Levering #40.
@,cariperi,"Next steps for social design thinking: geographic mixing, neighborhood tours, needs analysis and ""deep listening"" #createbmore"
@,nikkijamesmedia,@slantsixneal You should really be here right now! #createbmore
@,BaltimoreBNote,The BNote is thrilled to be part of the conversation at #CreateBMore
@,merriamiam,#ybs2013 RT @AndrewHazlett: A good time will be had by all at the #Baltimore Bike Party: http://t.co/8xpnOoHh #createbmore
@,kbladow,@LionelBMD why aren't you at #createbmore?
@,kbladow,Would love to hear @LesterSpence lecture. So much opportunity to learn. #CreateBmore
@,NoOrdnryCherry,RT @ElizabethEadie: So happy @lesterspence took the time to step into the diversity session at #createbmore
@,rsteggy,I'm imported from the D too! RT @KKTrumpbour: #createbmore @lesterspence I'm a U Detroit Mercy grad. Love to meet Detroit exports.
@,AndrewHazlett,A good time will be had by all at the Baltimore Bike Party: http://t.co/3u4zYKJx #createbmore
@,NoOrdnryCherry,.@SargeSalman @andrewhazlett @danieldubya Evil Plans to add to mix @betascape @IamDtech &amp; a Fashion #Hackathon for Baltimore #CreateBmore
@,KKTrumpbour,Walters has new program for young professionals. Walters Enthusiasts. #createbmore
@,suitsandsoot,"Absolutely RT @technicallyBMR: ""For anything to be sustainable it has to be demand-driven."" @hardebeck at Makerspaces session. #createbmore"
@,KKTrumpbour,#createbmore @lesterspence I'm a U Detroit Mercy grad. Love to meet Detroit exports.
@,rsteggy,It's great to be able to see what is happening in every session via Twitter. Keep it coming #createbmore
@,EvodieNgoy,"RT @NoOrdnryCherry: Part of the #digitaldivide problem: ""Huge racial divide between our own races"" - @studioKAFI #createbmore"
@,CreateBaltimore,5 minutes left in the second session #createbmore
@,technicallyBMR,For anything to be sustainable it has to be demand-driven. @hardebeck at Makerspaces session. #createbmore http://t.co/OowdEFru
@,AndrewHazlett,United Way of Central Maryland offers some great resources &amp; oppty for service via its Emerging Leaders program &amp; more #createbmore
@,ElizabethEadie,"RT @SargeSalman: Brilliant insight ""@pandora13: #createbmore ""design is essentially an exercise in empathy"" @davetroy"""
@,ElizabethEadie,So happy @lesterspence took the time to step into the diversity session at #createbmore
@,technicallyBMR,"RT @KKTrumpbour: #createbmore June, media tour of Baltimore tech scene. Daniel Waldman is organizing @danieldubya"
@,technicallyBMR,"RT @dirdim: #CreateBmore 3D Printing session: talk about how museums &amp; institutions should share 3D collections for STEM-Ed, like: h ..."
@,SargeSalman,"The 5 Why's method: http://t.co/NDNNnTxE ""@PureAmazi: why behind the why behind the why. Via @davetroy. #createbmore #bmoreaction"""
@,nikkijamesmedia,"Lots of organizations represented in Here! Vacants to Value, ELU, über, salon theater, Baltimore B Notes, Gather Baltimore #createbmore"
@,AndrewHazlett,Tweeting muscles cramping as I try to keep up with flood of awesome “evil plans” coming out of this #createbmore session
@,TheGoodPlan,Can someone in evil plans please take kickass notes? #createbmore @AndrewHazlett
@,BaltimoreBStore,"@TracyCGold, thanks for helping #CreateBMore"
@,datkidCarpeDiem,"@CreateBaltimore #CreateBmore ""Digital &amp; Racial Divide"" http://t.co/bNxuZMRp"
@,SargeSalman,"Brilliant insight ""@pandora13: #createbmore ""design is essentially an exercise in empathy"" @davetroy"""
@,PureAmazi,The why behind the why behind the why. Great take away from @davetroy. #createbmore #bmoreaction
@,AndrewHazlett,Take direct action to improve one of the city’s toughest neighborhoods via the 6th Branch in Oliver http://t.co/Kvk2xaiE #CreateBmore
@,ssnsailor,"RT @CreateBaltimore: ""The gods will not save us"" @AndrewHazlett Creative power, not political power, will #createbmore"
@,NoOrdnryCherry,"Part of the #digitaldivide problem: ""Huge racial divide between our own races"" - @studioKAFI #createbmore"
@,pandora13,"#createbmore ""design is essentially an exercise in empathy"" @davetroy"
@,suitsandsoot,Evil plans session started off shaky but rolling along great now. Valuable exchange of ideas. #createbmore
@,AndrewHazlett,Keep money local by using the “B Note” at area businesses http://t.co/907RrfAL #createbmore
@,jeedgan,Bnote ....baltimore has a local currency?!!?!? Something new. #createbmore
@,datkidCarpeDiem,"RT @SargeSalman: Ditto! ""@jessgartner: I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore"""
@,SargeSalman,"https://t.co/yPyOFkaq ""@DaveLandymore: @ZeroLitter's #TrashMob this coming Monday at 1230 #socialdesign at #CreateBmore // @mobtowngeorge"""
@,jamesnovak,RT @nikkijamesmedia: Didn't hear the plug for ELU Conference during #createbmore event? Want to be involved in #bmore Please check out h ...
@,AndrewHazlett,Also get transportation for free(!) from the Baltimore TimeBank http://t.co/XJiVl4sH #createbmore
@,CreateBaltimore,RT @lrenhrda: Here’s my notes. #createbmore http://t.co/sb82wkwO
@,ElizabethEadie,"RT @KKTrumpbour: #createbmore June, media tour of Baltimore tech scene. Daniel Waldman is organizing @danieldubya"
@,ElizabethEadie,RT @nikkijamesmedia: Didn't hear the plug for ELU Conference during #createbmore event? Want to be involved in #bmore Please check out h ...
@,CreateBaltimore,"RT @tracycgold: Notes on diversity, feel free to add details and edit: http://t.co/rVtMdiAO #createbmore"
@,ElizabethEadie,"RT @KKTrumpbour: Feb 23 Mar 9, 23 http://t.co/dhkDuLWh, legal clinic for artists. Get your legal qs answered #createbmore"
@,nikkijamesmedia,"Philanthropic 5, ELUs grant program for five young professionals doing good in #bmore to be unveiled on http://t.co/y05YZcxb #createbmore"
@,EdMullinSr,In MakerSpace meeting at #CreateBmore.  Interesting ideas.  Large group of attendees.
@,dirdim,"#CreateBmore 3D Printing session: talk about how museums &amp; institutions should share 3D collections for STEM-Ed, like: http://t.co/VKjdBvln"
@,jamesnovak,Some seriously cool evil plans happening in Baltimore #createbmore
@,ElizabethEadie,RT @jessgartner: A good sign: the diversity session @CreateBaltimore is pretty diverse. #growth #createbmore
@,suitsandsoot,RT @jessgartner: A good sign: the diversity session @CreateBaltimore is pretty diverse. #growth #createbmore
@,ElizabethEadie,RT @lrenhrda: Here’s my notes. #createbmore http://t.co/z9nRqGVh
@,AndrewHazlett,".@Uber_Baltimore wants to collaborate w/ event organizers for fast, safe, reliable transpo service. Contact melaniec@uber.com #CreateBmore"
@,datkidCarpeDiem,"RT @CreateBaltimore: ""The gods will not save us"" @AndrewHazlett Creative power, not political power, will #createbmore"
@,DaveLandymore,@ZeroLitter's #TrashMob this coming Monday at 1230 just got a mention in the #socialdesign session at #CreateBmore // @mobtowngeorge
@,SargeSalman,"Ditto! ""@jessgartner: I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore"""
@,KKTrumpbour,#createbmore @mezzoihnen is doing the parlor series (way cool) and is branching out.  Baltimore abandoned housing is involved #createbmore
@,NoOrdnryCherry,RT @jessgartner: I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore
@,LanaKole,The information being shared in the maker spaces and local manufacturing session is amazing! thanks guys! @CreateBaltimore #createbmore
@,SargeSalman,"Awesome! ""@AndrewHazlett: Bringing national press to cover #bmoretech is an “evil plan” that @danieldubya is working on #createbmore"""
@,suitsandsoot,RT @AndrewHazlett: Contact @wraydo if you are interested in building tools to increase financial transparency of city gov #CreateBMore
@,EvodieNgoy,@jessgartner: I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore Thank You so much I'm just so glad to here!
@,AndrewHazlett,Peter Davis is working on “parlor/pop-up” theater performance - Contact: http://t.co/IXS73BVk #createbmore
@,AndrewHazlett,For-profit business models for artists are a big interest of David London and http://t.co/WN8PtJuI #CreateBmore
@,datkidCarpeDiem,"@CreateBaltimore #CreateBmore ""Making Robot City"" http://t.co/FqW3VYHt"
@,KKTrumpbour,David London wants to talk to artists with for-profit models. #createbmore
@,NoOrdnryCherry,How do we break the #digitaldivide with the skills our community has? #createbmore
@,BRMacJR,RT @nikkijamesmedia: Didn't hear the plug for ELU Conference during #createbmore event? Want to be involved in #bmore Please check out h ...
@,Shaq_Brooks,Partnering with the @DHFBaltimore  when it comes to stem ed and 3deducation #createbmore
@,HoCoBlogs,"Vacant Values, Balt housing program allowing people to pitch how they want to use spaces #createbmore"
@,wraydo,"@DavidMTaylor @dennisthecynic Let's chat @ lunch or RM302 session ""City Government Accountability - Audits, Citizen Engagement"" #createbmore"
@,AndrewHazlett,Bringing national press to cover #bmoretech is an “evil plan” that @danieldubya is working on #createbmore
@,MairZdoatz,"RT @KKTrumpbour: #createbmore June, media tour of Baltimore tech scene. Daniel Waldman is organizing @danieldubya"
@,studioKAFI,@erauh @brittolsenecker miss your faces today. You both are such a part of #createbmore .
@,KKTrumpbour,"Feb 23 Mar 9, 23 http://t.co/dhkDuLWh, legal clinic for artists. Get your legal qs answered #createbmore"
@,AndrewHazlett,Sculptors Incorporated is helping bring sculptors together for learning and work http://t.co/eeiwqts6 #CreateBmore
@,SargeSalman,@rsteggy Then I look forward to a debrief at lunch :-) #createbmore
@,nikkijamesmedia,Didn't hear the plug for ELU Conference during #createbmore event? Want to be involved in #bmore Please check out http://t.co/y05YZcxb
@,KKTrumpbour,"#createbmore boxing tournament, bimonthly, linked with education project tough and smart can go together."
@,bmoreslumwatch,RT @AndrewHazlett: Contact @wraydo if you are interested in building tools to increase financial transparency of city gov #CreateBMore
@,AmakaOkoronkwo,RT @jessgartner: A good sign: the diversity session @CreateBaltimore is pretty diverse. #growth #createbmore
@,dennisthecynic,RT @AndrewHazlett: Contact @wraydo if you are interested in building tools to increase financial transparency of city gov #CreateBMore
@,dennisthecynic,@DavidMTaylor @wraydo You know I'm down for this as well... #createbmore
@,MICA_MASD,Automating the freedom of information act? An audit hackathon? Good ideas populating the Evil Plans session at #createbmore
@,dennisthecynic,RT @nikkijamesmedia: Nice shout out for #opoliver @The6thBranch @BRMacJr at the Evil Plans session #createbmore
@,laurenbot3k,"More evil plans @The6thBranch getting their hands dirty, http://t.co/dFuO0vX6, push for city audit, media tour @danieldubya #CreateBmore"
@,jessgartner,I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore
@,AndrewHazlett,Contact @wraydo if you are interested in building tools to increase financial transparency of city gov #CreateBMore
@,KKTrumpbour,"#createbmore June, media tour of Baltimore tech scene. Daniel Waldman is organizing @danieldubya"
@,BRMacJR,RT @nikkijamesmedia: Nice shout out for #opoliver @The6thBranch @BRMacJr at the Evil Plans session #createbmore
@,nikkijamesmedia,Nice shout out for #opoliver @The6thBranch @BRMacJr at the Evil Plans session #createbmore
@,rsteggy,Notes?! No record can exist...@SargeSalman: I hope notes were taken! @lrenhrda: Excited to hear about Baltimore’s evil plans! #createbmore
@,jonathanjulian,Love these old Hopkins auditoriums #createbmore http://t.co/BQjoHq8b
@,NoOrdnryCherry,Starting out the #diversity &amp; #digitaldivide talk. #createbmore
@,DanEwald,"Open document for ""Urban Design"" session at #createbmore  https://t.co/vSH7vw6X"
@,rsteggy,Love it! RT @pandora13: #createbmore best idea yet today: culinary hackathon. Urban gardening/farming
@,danieldubya,RT @CreateBaltimore: RT @lrenhrda: OH “Where else would the mayor come to a John Waters premier?” #createbmore #whybmore
@,danieldubya,Where will links to notes be stored from #createbmore?
@,BaltimoreYDS,"Live notes on ""Why Baltimore"" and ""Evil Plans"" RT @lrenhrda: Here’s my notes. #createbmore http://t.co/V5k3I0hz"
@,IamDtech,RT @jessgartner: A good sign: the diversity session @CreateBaltimore is pretty diverse. #growth #createbmore
@,KKTrumpbour,"Operation Oliver.  East Baltimore reduction of blight, increase of green spaces, clean up projects. March 10. on FB. #createbmore"
@,lrenhrda,Here’s my notes. #createbmore http://t.co/z9nRqGVh
@,KKTrumpbour,#createbmore emerging leaders united. Young professionals under 40. This April.  Talk to Nikki.
@,laurenbot3k,"Evil plans for Bmore: @gbtc http://t.co/8YlNBW2x calendar on @Localist, emerging leaders united young pros conference May 3 #CreateBmore"
@,AmakaOkoronkwo,"This is going to be interesting. We are talking digital divide, white privilege and women in tech all in one convo whoa! #createbmore"
@,SargeSalman,"I hope notes were taken! ""@lrenhrda: Excited to hear about Baltimore’s “evil plans!” #createbmore #evilplans"""
